NU_INSCRICAO,NU_NOTA_MT
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,413.158
e64ad901853230e396be49311ea98121c348fac6,493.558
8532af19be3729ea233c1f29e4c015820fc7fb3a,486.603
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,447.635
26853fd075fe27954772c3070997635b94f32b83,407.668
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,534.256
574ec310dee846f9ae8eb278480257d463f6fbcc,480.506
ebb32b8df4ff9b202ba904f310724ce230cb4305,10.497
8a46e35787225c3e7adef2b998ad9c93a952106b,511.235
b62bf908b504e8c6898777a7f5b88afed358caea,417.365
10d22971ca4f53fc62d02905809ff1c37fbb68fc,627.85
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,445.492
cad47b624b484cb16291449cee30707a46c20199,5.288
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,585.809
bb6c0df09cb6663f142ce6da382b804353453af2,0.782
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,458.344
7bd0affe1bdd3681a0faecd80a3d48c023b986de,22.938
d76614020539405f481c0f5ffb9e6f88a0bf21b7,426.098
5ce2df96a99343819ead41bf242044177439696d,-11.744
c7463ccdb0d2ad76b5823bfd016d420e02f4acc0,-13.722
a9216c3fc0c0bf14cda0ca26a71c205458b74896,-19.33
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,507.131
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,446.605
176b027cd932b17fcb6f119cfcef338a175062b8,389.462
41474f2dda61d97f38ba79906d3dbcce223d1bd1,499.14
421eb738f9e2ea73e5f4227c915762d6421102ac,17.086
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,496.342
f113b266aeb3cb19dca62ae88de7cc55a13efbf1,21.602
134d96275e3893946c3a0e1d59f86b336fe64f6e,-13.892
d4e97da32ccb6987ec074aa48c24ce949c05a78c,434.317
fa556e489987a0588e9a8edb5327e2bde1679670,9.358
95c1d266a2524560761df98b376c17604733a6ad,542.899
c11c4303d2632cde64105a35554ecb77a8564260,479.218
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,460.111
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,576.405
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,420.956
580c34923cbde328e0aef1641dd02033fc862c04,454.757
156e1fb82056b0f6953c443446eb4dcceed7c03b,-6.03
29d8bf198da9caa59047268faca60207da24d1b7,541.639
1b3f80a1cd9fff0408e96169fcaf006936b34fed,458.716
b5932043b62e0c58e16e2cc2c9d5489390e5c895,459.22
99092cc60948943c59d68d62ed81a75a03059113,479.226
fbfc631ae23a558d8dd92916cf2e8b5f923b0681,-11.244
dd69fca6f17420dc911016a79e70583ca7ea330d,428.129
d387995af060965fb9d18973f3dbf4904f071066,423.083
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,477.712
543674772357cf9d8a7a8e7dfb89384af80ec30e,488.154
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,417.29
dc2699d27649dbe52ebbe10001c0bb5ba71310c0,-274.268
0736d379ea0962e316ce84cce8e883321be36abb,431.498
98cc842c547c69a0d27776e272fd8b61131b0b37,420.585
890b7696fa85ca2b3e90b3951efec2135e88d5cf,446.956
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,641.58
d84b48f7dc7a6e387e6e985525143589754c5b13,444.122
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,503.795
dc4fe9d4124d9278f58f6f999711116a3fe58be7,479.317
f6624d763619c0898b34dc02adf06f53a1721cd0,433.662
60b1c12559860e7ad966da4c4db5c78e17278fc0,495.408
a3f3dcb89101d86171f8bb4f4f57939717cf298a,-16.365
4f365503582b97ea96462d0d36895a5e7f5926df,418.395
c80869804effb21d50cc8fff3f4c27ba5521240c,411.331
d0f351638d60e84b890a498d69c9a7961cdcdf36,455.687
48e8ec135997ff3676648d5c144c3c7150a7bbb1,405.713
45484014aefd10ea3e4b08fb93e66c251709cca6,439.18
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,450.674
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,387.431
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,590.501
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,404.12
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,624.284
c83c66733c5bd90a59996e473bb69e44f6522976,402.099
69c67ff1933e4fa099182bbcb24a229d0ad84d5d,-10.103
4c373daf5547a6292c4905696c148ec83f95f083,60.877
4549620b5459bb28990580f4ca0b4c2adc5b1a68,19.59
87f89c855f377c5b100ad2986cc6569e31d94a98,539.865
d0d8601aab147c191ae37365a930c1ed3eb0414b,-2.755
9a25537903e8e7eab1dfb357903d241e24e86fb8,0.326
eaecf3dd32668664e1dcc2d6c7a69042824806a6,434.798
d19fa85793fcb8ae3126d10592c9c57d3b32971f,-8.789
c59b370d3aa06b68878c836bceac844953d74972,490.273
5a6d397150d1a9e9c82e120f92d1e782da34bddb,-13.091
b2128312e70fdb830091aecb6b27d82617e2e226,417.006
8257941af168c0cc15f28bd596fd922352dae732,387.777
854ce153823802674f35bbe1ec010b12e9b3a56f,430.524
27f1db4e266b154f6f7fbef9c225fab472652a7b,420.332
11b90bed4a05d11169f308370faf81d6e9ca2c4f,431.52
5c55b7aeae6cb75ec715b4629812175239e45c15,-16.419
1391c7de937e0fea2ad23ebb111e513bf2aca2af,14.948
e9488c35627294cd8f5a809c0667aef7a3f0d465,-13.928
39c22d725a24b290af887b25175ae0a8d560db4b,-20.029
e001e1d73163c327a4d800697b1b36cd6921f60d,452.435
b83424ca8973e4b2eebf6eb9e26e842999432d22,393.715
202da3f471204ad489ebf0c3856437337534112d,-22.352
912d751c54b46c860c5ba61666fc6fc59ca2689d,367.38
8376d681a277c58f06ab633a06eaa66391126246,12.407
e114f7b197069bde8e158a0dbeaa022dd0c4e280,453.649
fa84edf183bd459ea9394d77bdc191683a75ff66,571.421
76190ff09a736ff83169394b770699b2709c5a27,485.264
515db15df8581ae72bb8e8358833016adee74e02,460.81
e2a05053c19e6fba60d0e582e6c7f371728a7106,450.288
66c14322296ac259374ec98c5c3bb2bd67ba25e9,10.855
2378556841bc8d5746f2b94d6adefc2db20f9518,558.383
1e6d55d7b1f72e9b7a8ea53f60f9434f830bc49a,-7.642
796d558152d241567f8a72b535a5e36fe78886f3,430.328
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,517.262
3c748fc7a94edb7ac1484373751ffa8574a3281d,426.806
344a6fc8038e291a6371f94963d7a7f5e1c4d55b,403.475
92510f53e4c26c81c3bb41aa9b4e967d1697cd12,5.575
10a1e8808e744c619376bff659f859cd71e8c41d,440.306
fc959dafc37dde3f173f083486d84ce5c817443f,425.567
6979d91c0a1903a336c640e14eed100821a0e24d,486.961
d4e37c4c1235ce014392f6c8ba0436f195b9e459,519.872
65ce75c2865eb4ae98e31b45fdc15f400d59e8cb,48.67
565a955a60c6073157aa869c0351c626a7171ef3,541.545
5697c01ee87a008056ebc0993a1028b41a26d251,21.131
99be797e423b5ae08fe342ea772738f71975df47,604.332
b579ea83f2d6c15b2c717d16a89827d65f39904b,484.726
e9373b5c22567bec508f2fa2580e4dc3ff687caa,614.898
a465af361b68bd536dd8bf61d522b9b21755ab60,503.033
c8feec2a94d996d03534ce935dec7a034667f107,704.202
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,482.568
f4f7888cfe88b7a3b0f3d94749921976353ae82c,460.042
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,457.928
2e466f15ac7b80870736fac2d0cf4bd7f362e852,460.314
85fd1d2ab6ab9205e3ca4770dd1f6205e1f3de70,7.28
fc83a5c665f70f39b4c7d326118cbf21a898e660,612.646
c26fbd904781a4f6c37a8f8969778f687c6c1424,9.18
ced4913c2220be57c54bc9f87bb4f441d5976671,467.787
880ade460a231d722e8bb0e4d17f3c8f77663d37,411.44
7c869f5b89ddf3130c87011b6508ee59e32682c5,424.199
9027f65d4e576928ca59690c280050c53d66506a,670.966
09eb415bcb9842d207139c8bddf32427a134d51e,548.23
f8224c83e27f4921df62876f7ff660b1dab3d974,462.412
628b91ee9b4e1e4564424fbfff2ea9f8eddca032,-13.245
dfec3182aec0997207e0845b072498065ec89aac,655.74
d653549f6d0ba70e2113b2cc56e9a83e331d2462,554.429
e95674df974af80342f676ca9e3540aecec2b8dc,476.538
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,514.796
2b7b15015ab18dc51893827c7e3f01d931a70410,-13.029
22d86e8b43a9412df86ec15ac231b9919e3ec905,439.829
1c61035799f6afe7f44c1fb68567d7a8945c3943,636.322
d5ed4b8732b0d7127a64f7e71137d321c56cc198,414.528
63edbbe59337f861a710bee4fe8a691d231f23da,410.73
f62bf9257782d839d38f84376b79611ed0de655d,10.449
cf14952b5b09ad1a9497769e3a08da2fd74c6102,-9.788
21b8ef230efbfca6b5f15b36a3243d76ed390967,477.694
fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,385.385
467fdbfc0c6cab31b0d85ec5e373d82fa3790321,-12.647
3de3c134579726fe4606b7a05f82ce19f00adb09,627.349
0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,420.577
bdaf0955746c2cdd3b9ac2538c7502d312fffed8,407.312
520c60d32fd2af8be76abd332859b36d8ae45900,448.962
6cb6e2310b52c2898e500f81bea938446592568b,485.554
0193b535914e1c5a445bede11a408bf1709cd3cb,481.211
f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,522.7
c512a461034cd90a9c5f1a32332b748041cfeba3,-2.264
6f77bbe0fc418131d06d15f50b30073eae680dbb,13.377
9b378e3937af8e97d4753cdf0c8917306354aaaf,461.72
1c92f54a5fe563622a0e23cf116461a7e147efd8,529.1
90facc45f7578775e3278aa0bd4fb59dad4d37c1,420.387
563bd02a1204c85e79026a020ba5af29bce95c12,72.384
c8062c4cc7e023996bd37b87295f5a2957ddb172,470.949
ea7cc5987f9cc7f756d501961f64fa5769013823,-5.722
f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,573.121
7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,454.062
1b61f7e184c7040ae4cea725153965e1f7f75308,436.764
aea68e00d370c2a0cfd02bf868824dec427bf23a,-4.37
bdfdc7207977f88b15b3d0559fbf6f05b970c9cb,2.6
95a9c65324583892b2d1a0c1c5163488f92d4a6d,416.032
5b7e7632cf766876026d0da6aa7c6df77bc13438,421.929
a3be14b06b7aef01331da18e7a1678222b563151,-2.305
92b8965cf3fb76d11e5061f26e577c23d212b9c5,32.165
96fd0462597b8cf21b1e918c1947106cd8359e5d,518.643
5c1cef937c40bf8c30c119160bedde7ef679454e,604.432
27dce80bee1eadbcd82bc7d09adb063e116870f6,-25.301
271a7e5b703fc3f29f6669415048a760e6355c5b,17.335
e39fbeab552a4b6492346d821d095c3a0d691555,420.965
93694c58636eabfe86550e734efb3775ba4d739f,496.436
8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,681.81
6c05e70130682975c1485a862b6e08b895650671,449.085
8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,404.638
15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,389.73
283df09083d3c7bec2590f22355c7ba32ec88623,484.281
40b96e97dc29dfc990656e30c1038e846b6c8ff2,0.16
ff362d0a648559b9146fb97ee248eb423c3d6a50,-4.38
717ae2ab18e7ba03c4f3af66500ece6580b29b71,-5.862
5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,567.579
23131f453efc29c2af9553d307692c60a3add1ae,474.762
da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,444.638
941646a7d24ee2837d7de90ff0a736bb8f61d68c,398.166
cd705413010e6e74f3b90ee78dbbd8b767488f0c,-28.117
5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,484.511
cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,438.359
72882a9cffe151d94be90e02ce3967a91b628099,476.183
cf62916c9829bd3ad05104151eee856d6de7ca1c,585.353
6b8f4241357e65c0491cc0ef96396f811574134c,439.485
298806ed4313157d412e860ac3ea8833d6ca6970,-12.348
268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,405.133
4485f973590cff61be5ec78cb3032d5fdf25b809,-16.78
afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,448.316
e2252b8e020cdf19b796baeb7b2c7b000a7bfb87,-19.179
8288badec4740382dbf7c33e4095cd4db0021bf7,387.416
5e139289eb167622f915eea3d1d6e49d15d1c873,524.451
fc050b2c8fa3446890fe1418332352177dd34506,444.636
8f309746992f374b4c2ea88f171233a9469ba649,461.668
ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,458.363
145b6344526f9df32f4046c8227282477c51d69f,462.723
a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,475.943
b23775f4cd460ba687d77b058f2bc46381a0fbfe,450.352
87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,578.301
9d2de5f93789220f3287c5b2bff6e4ca5c0f5e42,-18.883
08b5008c1ba3ee34dcafcb332c51d485da0313f4,-10.395
d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,451.421
2bf8abe8000927aeff885fdb26e82579b54bb657,450.086
fb745761567cc26fe3b8240866c481797bc4aedf,-1.777
dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,542.551
3ef584654da4e658ecdffb68bc4398c97f850ccf,428.826
342a52f77f29b040bf07e9d4de7029ad604de09c,-20.914
ea90166cae72eec871b4100ed8df997253bea84b,484.127
0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,502.208
39e7d2bf0be98a9698aa1369b7ca5576d392a777,477.642
01d88812b1d865b9797b9c57ed7538527593eb1d,596.671
879d82fe92a01214851fbeb62cd533fbc9d4ab87,534.656
9d0302fe7230d42fc9b5b995f2133c9db7513dce,11.616
bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,480.496
a185d42f150631e1f22e1d81f965dda9833d0bec,446.616
c5994a51d6c24ee4360aee344cebf55bd01c39e3,521.568
bbe2574187920d91ca67a657c5a476f92f8ac142,495.906
8637d558542ccd4a1cd1d3ab336711edad60a966,473.449
30fd3c461823b211ad79159256fdb3eb101deff0,452.494
8fc264880ab920d1847cd48307d22ae465c4be14,-5.592
d84f79e6c625a4c581a74ac4cdee661e6a69584b,30.601
fa78d232e5d879c81cfc136341b2ac1e22199a44,58.865
88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,456.934
b64320a06b5488023d6db73962a0ef06cfb5c4d3,4.873
4d12becc50fceaa6423313e98858cee7d438cc36,521.824
5c55594ff65d25732d6104cf60588ae877cb6e9c,609.203
8b1835ec3b546305fba72996c9e8b1941f6f3fd9,-6.493
e7eda9aa4a5dd77a968c91492fe232a0ee51bafe,6.925
8811c9e0834082ca3b09b556baf8674c55426155,-17.096
03d703acff40c67a804e3d7993f02e710af9be58,-12.213
ebd6ed760a482a95ddc04d78254761296ea73608,498.095
4ea487e7fd10b89407bd3c72366366f5b505847f,526.209
0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,464.408
10759016b000d342d3ee6f8d8961c5b9dea8db52,6.381
f3c7b5755e5b5311a38cc0b67bfd54fe9adb7b7f,-14.568
49a9374bc759c6a4d1f8fce5ade5908afe72803c,457.107
4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,449.478
0f31c91179f811dc6de3d071914cba2716013473,443.391
0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,482.495
a785bd6e2a4ae24b8c162fe6506c8c995d36bbad,-33.35
a945e7b0eedbc6722edf61c6e9115199efa0e79b,599.69
b52cae71211465e9b76723d1dab3cbb973a76a5e,416.952
c64825379cc10911781e842c315951b835c0246d,434.961
5a4837ca6347926f18a7da8e38c8bc7339f7aac3,3.982
3bbcc2404ed1002943c4a80215c47ff1ba31ebbf,504.597
